reaction	clustering_coef
EX_cyan_e	0
EX_cynt_e	0
EX_cys__D_e	0
EX_cys__L_e	0
EX_cytd_e	0
EX_dad__2_e	0
EX_damp_e	0
EX_dca_e	0
EX_dcmp_e	0
EX_dcyt_e	0
EX_ddca_e	0
EX_dgmp_e	0
EX_dgsn_e	0
EX_dha_e	0
EX_dimp_e	0
EX_din_e	0
EX_dms_e	0
EX_dmso_e	0
EX_dopa_e	0
EX_doxrbcn_e	0
EX_dtmp_e	0
EX_dump_e	0
EX_duri_e	0
EX_eca4colipa_e	0
EX_enlipa_e	0
EX_enter_e	0
EX_etha_e	0
EX_ethso3_e	0
EX_etoh_e	0
EX_f6p_e	0
EX_fald_e	0
EX_fe2_e	0
EX_fe3_e	0
EX_fe3dcit_e	0
EX_fe3dhbzs_e	0
EX_fe3hox_e	0
EX_fe3hox__un_e	0
EX_fecrm_e	0
EX_fecrm__un_e	0
EX_feenter_e	0
EX_feoxam_e	0
EX_feoxam__un_e	0
EX_for_e	0
EX_fru_e	0
EX_frulys_e	0
EX_fruur_e	0
EX_fuc__L_e	0
EX_fum_e	0
EX_fusa_e	0
EX_g1p_e	0
EX_g3pc_e	0
EX_g3pe_e	0
EX_g3pg_e	0
EX_g3pi_e	0
EX_g3ps_e	0
EX_g6p_e	0
EX_gal_e	0
EX_gal__bD_e	0
EX_gal1p_e	0
EX_galct__D_e	0
EX_galctn__D_e	0
EX_galctn__L_e	0
EX_galt_e	0
EX_galur_e	0
EX_gam_e	0
EX_gam6p_e	0
EX_gbbtn_e	0
EX_gdp_e	0
EX_glc_e	0
EX_glcn_e	0
EX_glcr_e	0
EX_glcur_e	0
EX_glcur1p_e	0
EX_gln__L_e	0
EX_glu__L_e	0
EX_gly_e	0
EX_glyald_e	0
EX_glyb_e	0
EX_glyc_e	0
EX_glyc__R_e	0
EX_glyc2p_e	0
EX_glyc3p_e	0
EX_glyclt_e	0
EX_gmp_e	0
EX_gsn_e	0
EX_gthox_e	0
EX_gthrd_e	0
EX_gtp_e	0
EX_gua_e	0
EX_h_e	0
EX_h2_e	0
EX_h2o_e	0
EX_h2o2_e	0
EX_h2s_e	0
EX_hacolipa_e	0
EX_halipa_e	0
EX_hdca_e	0
EX_hdcea_e	0
EX_hg2_e	0
EX_his__L_e	0
EX_hom__L_e	0
EX_hxa_e	0
EX_hxan_e	0
EX_idon__L_e	0
EX_ile__L_e	0
EX_imp_e	0
EX_indole_e	0
EX_inost_e	0
EX_ins_e	0
EX_isetac_e	0
EX_k_e	0
EX_kdo2lipid4_e	0
EX_lac__D_e	0
EX_lac__L_e	0
EX_lcts_e	0
EX_leu__L_e	0
EX_lipa_e	0
EX_lipa_cold_e	0
EX_lipoate_e	0
EX_lys__L_e	0
EX_lyx__L_e	0
EX_mal__D_e	0
EX_mal__L_e	0
EX_malt_e	0
EX_malthx_e	0
EX_maltpt_e	0
EX_malttr_e	0
EX_maltttr_e	0
EX_man_e	0
EX_man6p_e	0
EX_manglyc_e	0
EX_melib_e	0
EX_meoh_e	0
EX_met__D_e	0
EX_met__L_e	0
EX_metsox__R__L_e	0
EX_metsox__S__L_e	0
EX_mg2_e	0
EX_mincyc_e	0
EX_minohp_e	0
EX_mmet_e	0
EX_mn2_e	0
EX_mnl_e	0
EX_mobd_e	0
EX_mso3_e	0
EX_n2o_e	0
EX_na1_e	0
EX_nac_e	0
EX_nh4_e	0
EX_ni2_e	0
EX_nmn_e	0
EX_no_e	0
EX_no2_e	0
EX_no3_e	0
EX_novbcn_e	0
EX_o16a4colipa_e	0
EX_o2_e	0
EX_o2s_e	0
EX_ocdca_e	0
EX_ocdcea_e	0
EX_octa_e	0
EX_orn_e	0
EX_orot_e	0
EX_pacald_e	0
EX_peamn_e	0
EX_phe__L_e	0
EX_pheme_e	0
EX_pi_e	0
EX_pnto__R_e	0
EX_ppa_e	0
EX_ppal_e	0
EX_pppn_e	0
EX_ppt_e	0
EX_pro__L_e	0
EX_progly_e	0
EX_psclys_e	0
EX_pser__L_e	0
EX_ptrc_e	0
EX_pydam_e	0
EX_pydx_e	0
EX_pydxn_e	0
EX_pyr_e	0
EX_quin_e	0
EX_r5p_e	0
EX_rfamp_e	0
EX_rib__D_e	0
EX_rmn_e	0
EX_sbt__D_e	0
EX_sel_e	0
EX_ser__D_e	0
EX_ser__L_e	0
EX_skm_e	0
EX_slnt_e	0
EX_so2_e	0
EX_so3_e	0
EX_so4_e	0
EX_spmd_e	0
EX_succ_e	0
EX_sucr_e	0
EX_sulfac_e	0
EX_tartr__D_e	0
EX_tartr__L_e	0
EX_taur_e	0
EX_tcynt_e	0
EX_thm_e	0
EX_thr__L_e	0
EX_thrp_e	0
EX_thym_e	0
EX_thymd_e	0
EX_tma_e	0
EX_tmao_e	0
EX_tre_e	0
EX_trp__L_e	0
EX_tsul_e	0
EX_ttdca_e	0
EX_ttdcea_e	0
EX_ttrcyc_e	0
EX_tungs_e	0
EX_tym_e	0
EX_tyr__L_e	0
EX_tyrp_e	0
EX_uacgam_e	0
EX_udpacgal_e	0
EX_udpg_e	0
EX_udpgal_e	0
EX_udpglcur_e	0
EX_ump_e	0
EX_ura_e	0
EX_urea_e	0
EX_uri_e	0
EX_val__L_e	0
EX_xan_e	0
EX_xmp_e	0
EX_xtsn_e	0
EX_xyl__D_e	0
EX_xylu__L_e	0
EX_zn2_e	0
12DGR120tipp	0
12DGR140tipp	0
12DGR141tipp	0
12DGR160tipp	0
12DGR161tipp	0
12DGR180tipp	0
12DGR181tipp	0
12PPDRtex	0
12PPDRtpp	0
12PPDStex	0
12PPDStpp	0
14GLUCANabcpp	0.08620394173093401
14GLUCANtexi	0
23CAMPtex	0
23CCMPtex	0
23CGMPtex	0
23CUMPtex	0
23DAPPAt2pp	0.013198564418076613
23DAPPAtex	0
23PDE2pp	0.002557423632488752
23PDE4pp	0.002557423632488752
23PDE7pp	0.002557423632488752
23PDE9pp	0.002510063935590812
26DAHtex	0
2AGPA120tipp	0
2AGPA140tipp	0
2AGPA141tipp	0
2AGPA160tipp	0
2AGPA161tipp	0
2AGPA180tipp	0
2AGPA181tipp	0
2AGPE120tipp	0.16666666666666666
2AGPE140tipp	0.16666666666666666
2AGPE141tipp	0.16666666666666666
2AGPE160tipp	0.1
2AGPE161tipp	0.16666666666666666
2AGPE180tipp	0.16666666666666666
2AGPE181tipp	0.16666666666666666
2AGPEAT120	0.20526315789473684
2AGPEAT140	0.20526315789473684
2AGPEAT141	0.20526315789473684
2AGPEAT160	0.24675324675324675
2AGPEAT161	0.22924901185770752
2AGPEAT180	0.21637426900584794
2AGPEAT181	0.22380952380952382
2AGPG120tipp	0.3333333333333333
2AGPG140tipp	0.3333333333333333
2AGPG141tipp	0.3333333333333333
2AGPG160tipp	0.2
2AGPG161tipp	0.3333333333333333
2AGPG180tipp	0.3333333333333333
2AGPG181tipp	0.3333333333333333
2AGPGAT120	0.17316017316017315
2AGPGAT140	0.17316017316017315
2AGPGAT141	0.17316017316017315
2AGPGAT160	0.19367588932806323
2AGPGAT161	0.18115942028985507
2AGPGAT180	0.18095238095238095
2AGPGAT181	0.18972332015810275
2DGULRGx	0.026480634874769093
2DGULRGy	0.02402133066352408
2DGULRx	0.026480634874769093
2DGULRy	0.02402133066352408
2MAHMP	0.08251328808022386
34dhpactex	0
3AMACHYD	0.14362206785243023
3AMPtex	0
3CMPtex	0
3GMPtex	0
3HAD100	0.05932512411994054
3HAD120	0.059582499929571514
3HAD121	0.059582499929571514
3HAD140	0.059582499929571514
3HAD141	0.059582499929571514
3HAD160	0.059582499929571514
3HAD161	0.059582499929571514
3HAD180	0.059582499929571514
3HAD181	0.059582499929571514
3HAD40	0.059582499929571514
3HAD60	0.059582499929571514
3HAD80	0.059582499929571514
3HCINNMH	0.053112096864189266
3HPPPNH	0.053112096864189266
3HPPtex	0
3HPPtpp	0.02346684325431726
3KGK	0.03513520286695236
3NTD2pp	0.1323529411764706
3NTD4pp	0.1323529411764706
3NTD7pp	0.1323529411764706
3NTD9pp	0.14166666666666666
3OAR100	0.024970529089522225
3OAR120	0.024970529089522225
3OAR121	0.024970529089522225
3OAR140	0.024904903520298775
3OAR141	0.024970529089522225
3OAR160	0.024970529089522225
3OAR161	0.024970529089522225
3OAR180	0.024970529089522225
3OAR181	0.024970529089522225
3OAR40	0.02750881803720866
3OAR60	0.024970529089522225
3OAR80	0.024970529089522225
3OAS100	0.02890104540766133
3OAS120	0.02890104540766133
3OAS121	0.02383658424205191
3OAS140	0.02890104540766133
3OAS141	0.02890104540766133
3OAS160	0.02890104540766133
3OAS161	0.02890104540766133
3OAS180	0.02890104540766133
3OAS181	0.02890104540766133
3OAS60	0.02890104540766133
3OAS80	0.02890104540766133
3OXCOAT	0.08244897959183674
3PEPTabcpp	0.09039570026483876
3PEPTtex	0
3UMPtex	0
42A12BOOXpp	0.09523809523809523
4HOXPACDtex	0
4HTHRS	0.06539089424995466
4PCP	0.14049586776859505
4PCPpp	0.14285714285714285
4PEPTabcpp	0.09084503366564017
4PEPTtex	0
5DGLCNR	0.026568892587199223
5DGLCNt2rpp	0.012740073052904442
5DGLCNtex	0
5DOAN	0.0834710743801653
5MTRtex	0
5MTRtpp	0.020914599866869468
A5PISO	0
AACPS1	0.19402985074626866
AACPS2	0.19402985074626866
AACPS3	0.19402985074626866
AACPS4	0.19402985074626866
AACPS5	0.19402985074626866
AACPS6	0.19402985074626866
AACPS7	0.19402985074626866
AACPS8	0.16897081413210446
AACPS9	0.16897081413210446
AACTOOR	0.12315452755905512
AADDGT	0.034098079301380584
AAMYL	0.16666666666666666
AAMYLpp	0
AB6PGH	0.08232445520581114
ABTA	0.18666666666666668
ABUTD	0.09641926312048335
ABUTt2pp	0.012646608873023968
ABUTtex	0
ACACCT	0.07272727272727272
ACACT1r	0.05806451612903226
ACACT2r	0.07056451612903226
ACACT3r	0.07056451612903226
ACACT4r	0.05806451612903226
ACACT5r	0.05806451612903226
ACACT6r	0.05806451612903226
ACACT7r	0.05806451612903226
ACACT8r	0.08333333333333333
ACACt2pp	0.012685856588295612
ACACtex	0
ACALD	0.165174285664415
ACALDtex	0
ACALDtpp	0
ACANTHAT	0.03225806451612903
ACBIPGT	0.021489030075555835
ACCOAC	0.07019988003328109
ACCOAL	0.11960784313725491
ACGAL1PPpp	0.1523809523809524
ACGAL1Ptex	0
ACGALtex	0
ACGAM1PPpp	0.13333333333333333
ACGAM1Ptex	0
ACGAMK	0.03830332946186605
ACGAMT	0.13333333333333333
ACGAptspp	0.16483516483516483
ACGAtex	0
ACGK	0.35714285714285715
ACGS	0.14263404476834982
ACHBS	0.02696558727713717
ACKr	0.18095238095238095
ACLS	0.024719101123595506
ACM6PH	0.09443099273607748
ACMAMUT	0.03456427611606032
ACMANAptspp	0.16666666666666666
ACMANAtex	0
ACMUMptspp	0.19230769230769232
ACMUMtex	0
ACNAMt2pp	0.012715154178568812
ACNAMtex	0
ACNML	0.3090909090909091
ACOAD1f	0.6
ACOAD2f	0.55
ACOAD3f	0.6285714285714286
ACOAD4f	0.6285714285714286
ACOAD5f	0.6285714285714286
ACOAD6f	0.6285714285714286
ACOAD7f	0.55
ACOAD8f	0.6285714285714286
ACOATA	0.17429406037000975
ACODA	0.06218487394957983
ACOLIPAabctex	0.08619075868433194
ACONIs	0
ACONMT	0
ACONTa	0.051719238420005684
ACONTb	0.05865016209843796
ACOTA	0.12380952380952381
ACPPAT120	0.03416851295825813
ACPPAT140	0.03416851295825813
ACPPAT141	0.03416851295825813
ACPPAT160	0.03416851295825813
ACPPAT161	0.03416851295825813
ACPPAT180	0.03416851295825813
ACPPAT181	0.03416851295825813
ACPS1	0.13438727852324117
ACS	0.08450704225352113
ACSERtex	0
ACSERtpp	0
ACt2rpp	0.012675748524805129
ACt4pp	0
ACtex	0
ADA	0.14218571494473706
ADCL	0.04244877929088455
ADCS	0.11578947368421053
ADD	0.14171751230999785
ADEt2rpp	0.012671207793159013
ADEtex	0
ADK1	0.11290322580645161
ADK3	0.09965635738831616
ADK4	0.10215053763440861
ADMDC	0.02138924408466928
ADNCYC	0.42857142857142855
ADNK1	0.04949290060851927
ADNUC	0.10196078431372549
ADNt2pp	0.01694599360582644
ADNt2rpp	0.01694599360582644
ADNtex	0
ADOCBIK	0.03513520286695236
ADOCBLS	0.029100729411170843
ADOCBLabcpp	0.0949706677213104
ADOCBLtonex	0.01683457051961824
ADPRDP	0.0905355249204666
ADPT	0.06535947712418301
ADSK	0.04919641761747025
ADSL1r	0
ADSL2r	0
ADSS	0.08500222518914108
AGDC	0.10554125457255115
AGM3PA	0.11465603190428714
AGM3PApp	0.13333333333333333
AGM3PH	0.10010140518615095
AGM3Pt2pp	0.013433653319496093
AGM4PA	0.10010140518615095
AGM4PApp	0.11029411764705882
AGM4PCP	0.11288515406162465
AGM4PCPpp	0.125
AGM4PH	0.10010140518615095
AGM4Pt2pp	0.01382059038580092
AGMH	0.11465603190428714
AGMHE	0.5
AGMT	0.08460333285856715
AGMt2pp	0.01301336115700084
AGMtex	0
AGPAT120	0.12418300653594772
AGPAT140	0.12418300653594772
AGPAT141	0.12418300653594772
AGPAT160	0.12418300653594772
AGPAT161	0.12418300653594772
AGPAT180	0.12418300653594772
AGPAT181	0.12418300653594772
AGPR	0.3996357368198523
AGt3	0.020422371779995358
AHCYSNS	0.10343992248062016
AICART	0.42857142857142855
AIRC2	0.06047489488003958
AIRC3	0
AKGDH	0.27520661157024795
AKGt2rpp	0.016778661829574968
AKGtex	0
ALAALAD	0.09546573953353614
ALAALAabcpp	0.08948146244297372
ALAALAr	0.06176219669464119
ALAALAtex	0
ALAGLUE	0
ALAR	0.07272727272727272
ALATA_D2	0.12857142857142856
ALATA_L	0.20317460317460317
ALATA_L2	0.1645021645021645
ALATRS	0.18421052631578946
ALAabcpp	0.09685708137665658
ALAt2pp	0.02419547247133454
ALAt2rpp	0.02419547247133454
ALAt4pp	0.04395604395604396
ALAtex	0
ALCD19	0.02383125304495207
ALCD2x	0.0693723567858516
ALDD19xr	0.10104078259704292
ALDD2x	0.10220320855614973
ALDD2y	0.10373049645390071
ALDD3y	0.09929870013847322
ALDD4	0.09735758664570701
ALLK	0.04163577958981962
ALLPI	0
ALLTAMH	0.1439028778939792
ALLTN	0.08467220683287165
ALLTNt2rpp	0.016743572841133817
ALLTNtex	0
ALLULPE	0
ALLabcpp	0.08992156087271769
ALLtex	0
ALPATE160pp	0
ALPATG160pp	0
ALR2	0.023960854830901167
ALR4x	0.026480634874769093
ALTRH	0.051832907075873826
AM3PA	0.1261928500213645
AM4PA	0.11183543386933217
AM4PCP	0.11009827659877511
AMALT1	0.4642857142857143
AMALT2	0.4
AMALT3	0.4
AMALT4	0.28888888888888886
AMANAPEr	0
AMANK	0.03471707437608105
AMAOTr	0.16666666666666666
AMMQLT8	0.03644981632894893
AMPMS2	0.10381601113308431
AMPN	0.12258706467661691
AMPTASECG	0.13728714034057546
AMPTASEPG	0.11329661683713611
AMPtex	0
ANHGMtex	0
ANHMK	0.08946259220231823
ANPRT	0
ANS	0.09306062185165885
AOBUTDs	0.023921651073968955
AOXSr2	0.02666666666666667
AP4AH	0.07934076137418755
AP4AS	0.024892886847972712
AP5AH	0.3669503125051535
APCS	0.021324875583404245
APG3PAT120	0.1157126168224299
APG3PAT140	0.1157126168224299
APG3PAT141	0.1157126168224299
APG3PAT160	0.1157126168224299
APG3PAT161	0.1157126168224299
APG3PAT180	0.1157126168224299
APG3PAT181	0.1157126168224299
APH120	0.08194418678610235
APH140	0.08194418678610235
APH141	0.08194418678610235
APH160	0.08194418678610235
APH161	0.08194418678610235
APH180	0.08194418678610235
APH181	0.08194418678610235
APPLDHr	0.026480634874769093
APRAUR	0.023989321128909228
ARAI	0
ARBTNR1	0.09480490523968785
ARBTNR2	0.09232788450065625
ARBTNR3	0.09828178694158075
ARBTNabcpp	0.09982253771073647
ARBTNexs	0
ARBTNtex	0.017964595323085888
ARBTNtonex	0.016743572841133817
ARBTNtpp	0.029953917050691243
ARBTptspp	0.19230769230769232
ARBTtex	0
ARBabcpp	0.089396025968916
ARBt2rpp	0.017964595323085888
ARBt3ipp	0.02213432945140262
ARBtex	0
ARGAGMt7pp	0.2857142857142857
ARGDC	0.02120595779776757
ARGDCpp	0.032432432432432434
ARGORNt7pp	0.19444444444444445
ARGSL	0.10256410256410256
ARGSS	0.07985899261067046
ARGTRS	0.21666666666666667
ARGabcpp	0.10172950491468723
ARGt3pp	0.018074894058635303
ARGtex	0
ASAD	0.4014440433212996
ASCBPL	0.07913958526771897
ASCBptspp	0.23076923076923078
ASCBtex	0
ASNN	0.14891067538126362
ASNNpp	0.03508771929824561
ASNS1	0.13845080792033168
ASNS2	0.09250389408099688
ASNTRS	0.425
ASNabcpp	0.09652334216129199
ASNt2rpp	0.021072962610625846
ASNtex	0
ASO3t8pp	0.08708276725538773
ASO3tex	0
ASP1DC	0.02138176963479544
ASPCT	0.08181174805378627
ASPK	0.2857142857142857
ASPO3	0.06760529769717218
ASPO4	0.06717398823936355
ASPO5	0.07434379881630768
ASPO6	0.05561832132937909
ASPT	0.24210526315789474
ASPTA	0.14022988505747128
ASPTRS	0.18128654970760233
ASPabcpp	0.1254029070121024
ASPt2_2pp	0.05681986407375009
ASPt2_3pp	0.05681986407375009
ASPt2pp	0.05681986407375009
ASPt2rpp	0.05681986407375009
ASPtex	0
ASR	0.0569034996680785
AST	0.1119234865241255
ATHRDHr	0.055522609340252035
ATPHs	0.1437596164022241
ATPM	0.08708276725538773
ATPPRT	0.5111111111111111
ATPS4rpp	0.2443552887298197
BALAt2pp	0.016743572841133817
BALAtex	0
BETALDHx	0.1016243730818175
BETALDHy	0.10325933205282828
BMOCOS	0.2727272727272727
BMOGDS1	0.02402133066352408
BMOGDS2	0.024070853215198168
BPNT	0.09296939619520264
BSORx	0.05052533052533052
BSORy	0.048980460803330655
BTNt2ipp	0.020762001894077366
BTNtex	0
BTS5	0.05589430894308943
BUTCT	0.10256410256410256
BUTSO3abcpp	0.0866350409455914
BUTSO3tex	0
BUTt2rpp	0.012671207793159013
BUTtex	0
BWCOGDS1	0.02402133066352408
BWCOGDS2	0.024070853215198168
BWCOS	0.2727272727272727
CA2t3pp	0.012809501243928444
CA2tex	0
CADVtpp	0.025872755052033784
CAT	0.10839280497475064
CAt6pp	0
CBIAT	0.024765049976285418
CBItonex	0.01683457051961824
CBIuabcpp	0.09031881907083984
CBL1abcpp	0.09031881907083984
CBL1tonex	0.01683457051961824
CBLAT	0.024765049976285418
CBMD	0.021329575315758242
CBMKr	0.08354884379424257
CBPS	0.12757142168906874
CCGS	0.34095341391429496
CD2abcpp	0.0866350409455914
CD2t3pp	0.012740073052904442
CD2tex	0
CD2tpp	0
CDAPPA120	0.08829049738140647
CDAPPA140	0.08829049738140647
CDAPPA141	0.08829049738140647
CDAPPA160	0.08829049738140647
CDAPPA161	0.08829049738140647
CDAPPA180	0.08829049738140647
CDAPPA181	0.08829049738140647
CDGR	0.02144278728350697
CDGS	0.021329575315758242
CDPMEK	0.03491265614890758
CFAS160E	0.022114895780376207
CFAS160G	0.022967618182277074
CFAS180E	0.022114895780376207
CFAS180G	0.022967618182277074
CGLYabcpp	0.08724506525018035
CGLYtex	0
CHLabcpp	0.08943537281133189
CHLt2pp	0.016743572841133817
CHLtex	0
CHOLD	0.08204271566638825
CHORM	0
CHORS	0.12181616832779624
CHRPL	0.2
CHTBSptspp	0.19230769230769232
CHTBStex	0
CINNDO	0.027454402354309963
CITL	0.17857142857142858
CITt3pp	0.020703722590515044
CITt7pp	0.02631578947368421
CITtex	0
CLIPAabctex	0.09130578076593501
CLPNH120pp	0.030804283435862383
CLPNH140pp	0.030804283435862383
CLPNH141pp	0.030804283435862383
CLPNH160pp	0.03161048019315032
CLPNH161pp	0.031911532385466033
CLPNH180pp	0.030804283435862383
CLPNH181pp	0.031911532385466033
CLPNS120pp	0
CLPNS140pp	0
CLPNS141pp	0
CLPNS160pp	0.5
CLPNS161pp	0.5
CLPNS180pp	0
CLPNS181pp	0.5
CLt3_2pp	0.0208697631587116
CLtex	0
CMPN	0.2075295871773367
CMPtex	0
CMtex	0
CMtpp	0.012671207793159013
CO2tex	0
CO2tpp	0.35714285714285715
COBALT2abcpp	0.0866350409455914
COBALT2t3pp	0.012740073052904442
COBALT2tex	0
COBALT2tpp	0
COLIPAKpp	0.14545454545454545
COLIPAPabctex	0.08619075868433194
COLIPAabcpp	0.0931530204983144
COLIPAabctex	0.09543817527010805
CPGNR1	0.09480490523968785
CPGNR2	0.09232788450065625
CPGNR3	0.09828178694158075
CPGNUtex	0.017964595323085888
CPGNUtpp	0.029953917050691243
CPGNabcpp	0.09982253771073647
CPGNexs	0
CPGNtonex	0.016743572841133817
CPH4S	0.10330578512396695
CPMPS	0.09341736694677871
CPPPGO	0.054484303348477675
CPPPGO2	0.2857142857142857
CRNBTCT	0.06666666666666667
CRNCAL2	0.12591431556948798
CRNCAR	0
CRNCBCT	0.047619047619047616
CRNCDH	0.05141279544750261
CRNDCAL2	0.13310384394721744
CRNDabcpp	0.08631385664633746
CRNDt2rpp	0.012763167480148612
CRNDtex	0
CRNabcpp	0.08591262591993319
CRNt2rpp	0.012694548300147813
CRNt7pp	0
CRNt8pp	0
CRNtex	0
CS	0.13524412894689972
CSND	0.14333865771448684
CSNt2pp	0.012740073052904442
CSNtex	0
CTBTCAL2	0.12997198879551822
CTBTabcpp	0.08720483396496435
CTBTt2rpp	0.012902085542594557
CTECOAI6	0
CTECOAI7	0
CTECOAI8	0
CTPS2	0.12709165722464072
CU1Opp	0.015486359878754477
CU1abcpp	0.08688680995415154
CU2abcpp	0.08582857892320808
CU2tex	0
CU2tpp	0
CUt3	0.020276497695852536
CUtex	0
CYANST	0.027590830561357367
CYANSTpp	0.001691542288557214
CYANtex	0
CYNTAH	0.021329575315758242
CYNTt2pp	0.012740073052904442
CYNTtex	0
CYSDDS	0.1504742077261161
CYSDS	0.16165413533834586
CYSDabcpp	0.0877331751367741
CYSDtex	0
CYSS	0.059633456449576884
CYSSADS	0.021160324131529823
CYSTL	0.1460791117279667
CYSTRS	0.26666666666666666
CYSabc2pp	0.09598006426650928
CYSabcpp	0.10897243107769423
CYStex	0
CYStpp	0
CYTBD2pp	0.05865018557160834
CYTBDpp	0.05876952992515884
CYTBO3_4pp	0.05876952992515884
CYTD	0.14218028769833194
CYTDH	0.10354650334710155
CYTDK2	0.04336043360433604
CYTDt2pp	0.016979445933869526
CYTDt2rpp	0.016979445933869526
CYTDtex	0
CYTK1	0.16216216216216217
CYTK2	0.5833333333333334
D__LACt2pp	0.01674072994827712
D__LACtex	0
DAAD	0.21902775258479956
DADA	0.1421204233339589
DADK	0.5833333333333334
DADNt2pp	0.012661178698914548
DADNtex	0
DAGK120	0.042399705557600295
DAGK140	0.042399705557600295
DAGK141	0.042399705557600295
DAGK160	0.042399705557600295
DAGK161	0.042399705557600295
DAGK180	0.042399705557600295
DAGK181	0.042399705557600295
DALAt2pp	0.01628094541577242
DALAtex	0
DAMPtex	0
DAPAL	0.1383236434108527
DAPDC	0.023806029090044943
DAPE	0.3333333333333333
DAPabcpp	0.09027750313097357
DAPtex	0
DASYN120	0.021387683210668678
DASYN140	0.021387683210668678
DASYN141	0.021387683210668678
DASYN160	0.021387683210668678
DASYN161	0.021387683210668678
DASYN180	0.021387683210668678
DASYN181	0.021387683210668678
DATPHs	0.14158823978451238
DB4PS	0.02923903847110934
DBTS	0.07719490982330862
DC6PH	0.08060713233127026
DCAtex	0
DCMPtex	0
DCTPD	0.14159369240667838
DCYTD	0.1421177033779134
DCYTt2pp	0.012671207793159013
DCYTtex	0
DDCAtexi	0
DDGALK	0.03513713862120089
DDGLCNt2rpp	0.016743572841133817
DDGLCNtex	0
DDGLK	0.04183621256791988
DDPA	0.0783453732370141
DDPGALA	0.2727272727272727
DGK1	0.5833333333333334
DGMPtex	0
DGSNt2pp	0.012661178698914548
DGSNtex	0
DHACOAH	0.06416791604197901
DHAD1	0.051728710807994696
DHAD2	0.05448517571279719
DHAPT	0.14705882352941177
DHAtex	0
DHAtpp	0
DHBD	0.05088946141577721
DHBS	0.024907372875152926
DHBSH	0.13362952836637046
DHCIND	0.05680284627653049
DHCINDO	0.03498144923146816
DHDPRy	0.021476668717692004
DHDPS	0.31173910817590744
DHFR	0.022421803056483905
DHFS	0.09394453876627051
DHMPTR	0.021386284550217096
DHNAOT4	0.02478387163704267
DHNCOAS	0.04925640378488807
DHNCOAT	0.12833593936342194
DHNPA2r	0
DHNPTE	0
DHORD2	0.47619047619047616
DHORD5	0.19696969696969696
DHORDfum	0.007352941176470588
DHORTS	0.07950389816529466
DHPPD	0.05680284627653049
DHPPDA2	0.14362206785243023
DHPS2	0
DHPTDCs2	0
DHPTDNR	0.02144278728350697
DHPTDNRN	0.02395314908895258
DHPTPE	0
DHQS	0.1006006006006006
DHQTi	0.05420176352931234
DIMPtex	0
DINSt2pp	0.012661178698914548
DINStex	0
DKGLCNR1	0.0316409200492514
DKGLCNR2x	0.03152653731649728
DKGLCNR2y	0.029120271111418492
DMATT	0.3333333333333333
DMPPS	0.052443959823019984
DMQMT	0.042497853024168815
DMSOR1	0.06282473931271725
DMSOR1pp	0.008567931456548347
DMSOR2	0.06390897979064616
DMSOR2pp	0.008470244614822929
DMSOtex	0
DMSOtpp	0
DMStex	0
DNMPPA	0.07426048565121413
DNTPPA	0.09113613659068205
DOGULNR	0.02395314908895258
